--Effect codes
EFFECT_IMMUNE_EFFECT                = 1
EFFECT_CANNOT_REMOVE                = 67
EFFECT_CANNOT_TO_GRAVE              = 68
EFFECT_CANNOT_TURN_SET              = 69
EFFECT_CANNOT_BE_BATTLE_TARGET      = 70
EFFECT_CANNOT_BE_EFFECT_TARGET      = 71
EFFECT_IGNORE_BATTLE_TARGET         = 72
EFFECT_CANNOT_DIRECT_ATTACK         = 73
EFFECT_DIRECT_ATTACK                = 74
EFFECT_GEMINI_STATUS                = 75
EFFECT_EQUIP_LIMIT                  = 76
EFFECT_GEMINI_SUMMONABLE            = 77
EFFECT_UNION_LIMIT                  = 78
EFFECT_REVERSE_DAMAGE               = 80
EFFECT_REVERSE_RECOVER              = 81
EFFECT_CHANGE_DAMAGE                = 82
EFFECT_REFLECT_DAMAGE               = 83
EFFECT_CANNOT_ATTACK                = 85
EFFECT_CANNOT_ATTACK_ANNOUNCE       = 86
EFFECT_CANNOT_CHANGE_POS_E          = 87
EFFECT_ACTIVATE_COST                = 90
EFFECT_SUMMON_COST                  = 91
EFFECT_SPSUMMON_COST                = 92
EFFECT_FLIPSUMMON_COST              = 93
EFFECT_MSET_COST                    = 94
EFFECT_SSET_COST                    = 95
EFFECT_ATTACK_COST                  = 96
EFFECT_UPDATE_ATTACK                = 100
Altera / Não o Ataque do monstro 

EFFECT_SET_ATTACK                   = 101
EFFECT_SET_ATTACK_FINAL             = 102
EFFECT_SET_BASE_ATTACK              = 103
EFFECT_UPDATE_DEFENSE               = 104
EFFECT_SET_DEFENSE                  = 105
EFFECT_SET_DEFENSE_FINAL            = 106
EFFECT_SET_BASE_DEFENSE             = 107
EFFECT_REVERSE_UPDATE               = 108
EFFECT_SWAP_AD                      = 109
EFFECT_SWAP_BASE_AD                 = 110
EFFECT_SWAP_ATTACK_FINAL            = 111
EFFECT_SWAP_DEFENSE_FINAL           = 112
EFFECT_ADD_CODE                     = 113
EFFECT_CHANGE_CODE                  = 114
EFFECT_ADD_TYPE                     = 115
EFFECT_REMOVE_TYPE                  = 116
EFFECT_CHANGE_TYPE                  = 117
EFFECT_REMOVE_CODE                  = 118
EFFECT_ADD_RACE                     = 120
EFFECT_REMOVE_RACE                  = 121
EFFECT_CHANGE_RACE                  = 122
EFFECT_ADD_ATTRIBUTE                = 125
EFFECT_REMOVE_ATTRIBUTE             = 126
EFFECT_CHANGE_ATTRIBUTE             = 127
EFFECT_UPDATE_LEVEL                 = 130
Altera o Level do Monstro

EFFECT_CHANGE_LEVEL                 = 131
EFFECT_UPDATE_RANK                  = 132
EFFECT_CHANGE_RANK                  = 133
EFFECT_UPDATE_LSCALE                = 134
EFFECT_CHANGE_LSCALE                = 135
EFFECT_UPDATE_RSCALE                = 136
EFFECT_CHANGE_RSCALE                = 137
EFFECT_SET_POSITION                 = 140
EFFECT_SELF_DESTROY                 = 141
EFFECT_SELF_TOGRAVE                 = 142
EFFECT_DOUBLE_TRIBUTE               = 150
EFFECT_DECREASE_TRIBUTE             = 151
EFFECT_DECREASE_TRIBUTE_SET         = 152
EFFECT_EXTRA_RELEASE                = 153
EFFECT_TRIBUTE_LIMIT                = 154
EFFECT_EXTRA_RELEASE_SUM            = 155
EFFECT_TRIPLE_TRIBUTE               = 156
EFFECT_ADD_EXTRA_TRIBUTE            = 157
EFFECT_EXTRA_RELEASE_NONSUM         = 158
EFFECT_PUBLIC                       = 160
EFFECT_COUNTER_PERMIT               = 0x10000
EFFECT_COUNTER_LIMIT                = 0x20000
EFFECT_RCOUNTER_REPLACE             = 0x30000
EFFECT_LPCOST_CHANGE                = 170
EFFECT_LPCOST_REPLACE               = 171
EFFECT_SKIP_DP                      = 180
EFFECT_SKIP_SP                      = 181
EFFECT_SKIP_M1                      = 182
EFFECT_SKIP_BP                      = 183
EFFECT_SKIP_M2                      = 184
EFFECT_CANNOT_BP                    = 185
EFFECT_CANNOT_M2                    = 186
EFFECT_CANNOT_EP                    = 187
EFFECT_SKIP_TURN                    = 188
EFFECT_SKIP_EP                      = 189
EFFECT_DEFENSE_ATTACK               = 190
EFFECT_MUST_ATTACK                  = 191
EFFECT_FIRST_ATTACK                 = 192
EFFECT_ATTACK_ALL                   = 193
EFFECT_EXTRA_ATTACK                 = 194

[01] 0x10 | EFFECT_FLAG_CARD_TARGET
The effect includes targeting a card
 
